"Individual","Coverage","Category","HET_SENSITIVITY","HET_PPV","HET_SPECIFICITY","HOMVAR_SENSITIVITY","HOMVAR_PPV","HOMVAR_SPECIFICITY","VAR_SENSITIVITY","VAR_PPV","VAR_SPECIFICITY","GENOTYPE_CONCORDANCE","NON_REF_GENOTYPE_CONCORDANCE"
"2H10","0.0625X","Archaic Shared",0.981326,0.883183,NA,0.990319,0.946809,NA,0.985194,0.909583,0.867321,0.431147,0.431147
"2H10","0.0625X","Not Detected As Archaic",0.833919,0.768978,NA,0.925296,0.912443,NA,0.890243,0.850898,0.750471,0.413286,0.413286
"2H10","0.0625X","Archaic Original",0.865644,0.837653,NA,0.927457,0.942164,NA,0.897846,0.887656,0.830185,0.414815,0.414815
"2H10","0.0625X","Archaic New",0.978473,0.879831,NA,0.987033,0.939224,NA,0.98182,0.901959,0.866206,0.404928,0.404928
"2H10","0.5X","Archaic Shared",0.992377,0.888875,NA,0.99229,0.96177,NA,0.992336,0.921388,0.875809,0.442839,0.442839
"2H10","0.5X","Not Detected As Archaic",0.973144,0.845055,NA,0.988762,0.942889,NA,0.982608,0.901669,0.812081,0.453721,0.453721
"2H10","0.5X","Archaic Original",0.904762,0.913793,NA,1,0.846154,NA,0.959184,0.87037,0.752941,0.4377,0.4377
"2H10","0.5X","Archaic New",0.990017,0.868538,NA,0.98857,0.945861,NA,0.989379,0.900622,0.854902,0.411403,0.411403
"2H10","1X","Archaic Shared",0.995387,0.891184,NA,0.993557,0.960878,NA,0.994528,0.922348,0.876736,0.4433,0.4433
"2H10","1X","Not Detected As Archaic",0.983322,0.851283,NA,0.992352,0.944492,NA,0.988793,0.905294,0.816843,0.456063,0.456063
"2H10","1X","Archaic Original",0.921053,0.972222,NA,1,0.976744,NA,0.9625,0.974684,0.95122,0.48125,0.48125
"2H10","1X","Archaic New",0.992272,0.872967,NA,0.99039,0.949684,NA,0.991417,0.905891,0.858439,0.415479,0.415479
"2H10","2X","Archaic Shared",0.996755,0.893671,NA,0.993596,0.960819,NA,0.99527,0.923768,0.878383,0.44348,0.44348
"2H10","2X","Not Detected As Archaic",0.989565,0.855939,NA,0.994106,0.945598,NA,0.992317,0.907941,0.820391,0.456749,0.456749
"2H10","2X","Archaic Original",0.928571,1,NA,1,1,NA,0.941176,1,1,0.4,0.4
"2H10","2X","Archaic New",0.993768,0.873354,NA,0.990896,0.951629,NA,0.992441,0.907518,0.858847,0.415394,0.415394
"2H11","0.0625X","Archaic Shared",0.979887,0.926163,NA,0.99026,0.9585,NA,0.983338,0.936711,0.915258,0.59769,0.59769
"2H11","0.0625X","Not Detected As Archaic",0.832617,0.831304,NA,0.922764,0.915797,NA,0.883213,0.876967,0.799931,0.569003,0.569003
"2H11","0.0625X","Archaic Original",0.820986,0.86538,NA,0.917424,0.921033,NA,0.865667,0.890711,0.847025,0.550459,0.550459
"2H11","0.0625X","Archaic New",0.97561,0.91758,NA,0.982911,0.960634,NA,0.977789,0.929901,0.911863,0.57089,0.57089
"2H11","0.5X","Archaic Shared",0.992375,0.931519,NA,0.994232,0.964713,NA,0.993109,0.944326,0.917161,0.620187,0.620187
"2H11","0.5X","Not Detected As Archaic",0.97543,0.904223,NA,0.990418,0.952356,NA,0.983646,0.930041,0.870269,0.644191,0.644191
"2H11","0.5X","Archaic Original",0.879656,0.900591,NA,0.98041,0.925569,NA,0.930628,0.913809,0.857689,0.62205,0.62205
"2H11","0.5X","Archaic New",0.992106,0.926364,NA,0.993231,0.960748,NA,0.992547,0.939502,0.911104,0.609677,0.609677
"2H11","1X","Archaic Shared",0.995236,0.932735,NA,0.996225,0.96465,NA,0.995627,0.945068,0.917992,0.622454,0.622454
"2H11","1X","Not Detected As Archaic",0.986082,0.908985,NA,0.994364,0.954886,NA,0.990621,0.933594,0.8755,0.649252,0.649252
"2H11","1X","Archaic Original",0.931579,0.895631,NA,0.968227,0.944724,NA,0.953988,0.924678,0.846465,0.635031,0.635031
"2H11","1X","Archaic New",0.99439,0.927544,NA,0.995621,0.962242,NA,0.99488,0.94101,0.912279,0.611076,0.611076
"2H11","2X","Archaic Shared",0.996721,0.93542,NA,0.996721,0.965045,NA,0.996721,0.946964,0.920127,0.624134,0.624134
"2H11","2X","Not Detected As Archaic",0.992129,0.91316,NA,0.996383,0.95598,NA,0.994461,0.936138,0.879225,0.652074,0.652074
"2H11","2X","Archaic Original",0.92,0.935897,NA,0.957895,0.925532,NA,0.941176,0.930233,0.869565,0.631579,0.631579
"2H11","2X","Archaic New",0.995934,0.931878,NA,0.996684,0.962244,NA,0.996238,0.943937,0.915048,0.615833,0.615833
"BA64","0.0625X","Archaic Shared",0.979306,0.906819,NA,0.990596,0.932593,NA,0.982678,0.914398,0.893322,0.288366,0.288366
"BA64","0.0625X","Not Detected As Archaic",0.826369,0.776258,NA,0.915876,0.870095,NA,0.873716,0.823586,0.751278,0.277744,0.277744
"BA64","0.0625X","Archaic Original",0.837392,0.831139,NA,0.975295,0.911943,NA,0.895644,0.866169,0.828652,0.300606,0.300606
"BA64","0.0625X","Archaic New",0.981641,0.863756,NA,0.992293,0.881007,NA,0.984539,0.868403,0.849117,0.273769,0.273769
"BA64","0.5X","Archaic Shared",0.990562,0.911203,NA,0.99719,0.933392,NA,0.992782,0.918554,0.892136,0.299938,0.299938
"BA64","0.5X","Not Detected As Archaic",0.975523,0.869909,NA,0.989967,0.909806,NA,0.98297,0.890071,0.820006,0.312412,0.312412
"BA64","0.5X","Archaic Original",0.935484,0.978261,NA,0.728814,1,NA,0.8,0.986301,0.969697,0.318182,0.318182
"BA64","0.5X","Archaic New",0.992471,0.8767,NA,0.995814,0.902186,NA,0.993632,0.885394,0.852422,0.287566,0.287566
"BA64","1X","Archaic Shared",0.994821,0.911379,NA,0.994452,0.936133,NA,0.994697,0.919539,0.893042,0.300586,0.300586
"BA64","1X","Not Detected As Archaic",0.987207,0.878737,NA,0.994835,0.91202,NA,0.991136,0.895588,0.82637,0.314851,0.314851
"BA64","1X","Archaic Original",0.952381,0.909091,NA,1,1,NA,0.97619,0.953488,0.92,0.359649,0.359649
"BA64","1X","Archaic New",0.994208,0.879007,NA,0.997032,0.903802,NA,0.995207,0.887627,0.853521,0.288505,0.288505
"BA64","2X","Archaic Shared",0.996251,0.914629,NA,0.994039,0.934952,NA,0.995503,0.921355,0.894878,0.300709,0.300709
"BA64","2X","Not Detected As Archaic",0.993462,0.883815,NA,0.997132,0.913116,NA,0.995353,0.898676,0.829908,0.315647,0.315647
"BA64","2X","Archaic Original",1,1,NA,1,1,NA,1,1,1,0.357143,0.357143
"BA64","2X","Archaic New",0.996624,0.885034,NA,0.997465,0.910635,NA,0.99693,0.894172,0.858896,0.292185,0.292185
"BOT2016","0.0625X","Archaic Shared",0.972324,0.893953,NA,0.974278,0.906833,NA,0.973012,0.898387,0.867269,0.420393,0.420393
"BOT2016","0.0625X","Not Detected As Archaic",0.809063,0.785845,NA,0.901547,0.899399,NA,0.861526,0.845609,0.765464,0.42691,0.42691
"BOT2016","0.0625X","Archaic Original",0.819029,0.855724,NA,0.892402,0.887492,NA,0.850905,0.869013,0.830348,0.404733,0.404733
"BOT2016","0.0625X","Archaic New",0.979872,0.910376,NA,0.997807,0.95268,NA,0.986308,0.925292,0.898148,0.444832,0.444832
"BOT2016","0.5X","Archaic Shared",0.987622,0.911279,NA,0.992638,0.926529,NA,0.989533,0.91703,0.883212,0.447802,0.447802
"BOT2016","0.5X","Not Detected As Archaic",0.96412,0.881963,NA,0.983833,0.938699,NA,0.975001,0.912374,0.843143,0.491375,0.491375
"BOT2016","0.5X","Archaic Original",0.872624,0.873702,NA,0.910714,0.91543,NA,0.894737,0.896166,0.817672,0.457895,0.457895
"BOT2016","0.5X","Archaic New",0.986808,0.909239,NA,0.98895,0.94563,NA,0.987631,0.922797,0.891007,0.458344,0.458344
"BOT2016","1X","Archaic Shared",0.992931,0.916245,NA,0.995325,0.92867,NA,0.99385,0.920969,0.887297,0.450799,0.450799
"BOT2016","1X","Not Detected As Archaic",0.979438,0.893938,NA,0.991246,0.941763,NA,0.985945,0.919672,0.853014,0.497539,0.497539
"BOT2016","1X","Archaic Original",0.89644,0.866071,NA,0.944767,0.925595,NA,0.921899,0.895833,0.832936,0.485306,0.485306
"BOT2016","1X","Archaic New",0.991305,0.907218,NA,0.992591,0.944282,NA,0.99181,0.921346,0.887587,0.461403,0.461403
"BOT2016","2X","Archaic Shared",0.995586,0.920126,NA,0.997565,0.929049,NA,0.996349,0.923543,0.890023,0.452972,0.452972
"BOT2016","2X","Not Detected As Archaic",0.988762,0.901906,NA,0.994977,0.943307,NA,0.992187,0.924243,0.859292,0.500727,0.500727
"BOT2016","2X","Archaic Original",0.921739,0.84,NA,1,0.958904,NA,0.951087,0.883838,0.853503,0.488764,0.488764
"BOT2016","2X","Archaic New",0.994112,0.912291,NA,0.99373,0.947265,NA,0.99396,0.925809,0.892269,0.463905,0.463905
"JP14","0.0625X","Archaic Shared",0.98024,0.939085,NA,0.983194,0.966833,NA,0.981549,0.951051,0.921199,0.571455,0.571455
"JP14","0.0625X","Not Detected As Archaic",0.835166,0.833741,NA,0.926678,0.912316,NA,0.885652,0.875822,0.800954,0.521108,0.521108
"JP14","0.0625X","Archaic Original",0.847655,0.870642,NA,0.895582,0.893937,NA,0.868924,0.880769,0.835533,0.49586,0.49586
"JP14","0.0625X","Archaic New",0.986994,0.906649,NA,0.987296,0.889072,NA,0.987099,0.900531,0.868301,0.502901,0.502901
"JP14","0.5X","Archaic Shared",0.990326,0.944665,NA,0.992672,0.970744,NA,0.991332,0.955623,0.929164,0.582825,0.582825
"JP14","0.5X","Not Detected As Archaic",0.977724,0.908076,NA,0.991541,0.948722,NA,0.985176,0.929599,0.871152,0.58703,0.58703
"JP14","0.5X","Archaic Original",0.94963,0.876344,NA,0.962637,0.930283,NA,0.954867,0.896924,0.859887,0.510145,0.510145
"JP14","0.5X","Archaic New",0.992815,0.924085,NA,0.995465,0.948638,NA,0.99387,0.933693,0.90211,0.54638,0.54638
"JP14","1X","Archaic Shared",0.993649,0.94523,NA,0.994998,0.970835,NA,0.994226,0.95598,0.929638,0.584371,0.584371
"JP14","1X","Not Detected As Archaic",0.987985,0.913404,NA,0.995433,0.950724,NA,0.992002,0.933181,0.876221,0.591299,0.591299
"JP14","1X","Archaic Original",0.958042,0.889251,NA,0.994624,0.907317,NA,0.972458,0.896484,0.857143,0.48254,0.48254
"JP14","1X","Archaic New",0.995259,0.927033,NA,0.997545,0.951572,NA,0.996168,0.936641,0.905938,0.550377,0.550377
"JP14","2X","Archaic Shared",0.995407,0.945369,NA,0.996167,0.970557,NA,0.995731,0.955929,0.929577,0.58295,0.58295
"JP14","2X","Not Detected As Archaic",0.993449,0.916502,NA,0.997185,0.951824,NA,0.995464,0.935222,0.879196,0.593251,0.593251
"JP14","2X","Archaic Original",0.967742,0.923077,NA,0.983607,0.952381,NA,0.97561,0.9375,0.891892,0.614583,0.614583
"JP14","2X","Archaic New",0.997132,0.930107,NA,0.998165,0.952776,NA,0.997561,0.939397,0.907002,0.555797,0.555797
"KK1","0.0625X","Archaic Shared",0.980658,0.894776,NA,0.992727,0.868463,NA,0.982886,0.889733,0.881643,0.305975,0.305975
"KK1","0.0625X","Not Detected As Archaic",0.806857,0.752435,NA,0.887951,0.878197,NA,0.852529,0.815986,0.738502,0.297045,0.297045
"KK1","0.0625X","Archaic Original",0.799273,0.852785,NA,0.878651,0.895455,NA,0.836915,0.871457,0.826917,0.317175,0.317175
"KK1","0.0625X","Archaic New",0.986089,0.896978,NA,0.992701,0.902628,NA,0.988201,0.898802,0.871106,0.307768,0.307768
"KK1","0.5X","Archaic Shared",0.990572,0.904192,NA,0.99151,0.924979,NA,0.990881,0.910898,0.884264,0.337659,0.337659
"KK1","0.5X","Not Detected As Archaic",0.96829,0.854292,NA,0.980873,0.917406,NA,0.975152,0.887323,0.810087,0.343022,0.343022
"KK1","0.5X","Archaic Original",0.929577,0.772727,NA,0.975,1,NA,0.953642,0.878049,0.81982,0.376658,0.376658
"KK1","0.5X","Archaic New",0.989315,0.886347,NA,0.98976,0.932057,NA,0.989486,0.90327,0.867321,0.324946,0.324946
"KK1","1X","Archaic Shared",0.993932,0.905843,NA,0.996497,0.927377,NA,0.994781,0.912864,0.885908,0.339783,0.339783
"KK1","1X","Not Detected As Archaic",0.982859,0.864242,NA,0.989696,0.920248,NA,0.986577,0.893692,0.817543,0.346737,0.346737
"KK1","1X","Archaic Original",0.833333,0.833333,NA,1,1,NA,0.925,0.925,0.875,0.362745,0.362745
"KK1","1X","Archaic New",0.993326,0.889027,NA,0.99428,0.929952,NA,0.993698,0.904491,0.867244,0.326839,0.326839
"KK1","2X","Archaic Shared",0.998051,0.91101,NA,0.996073,0.927436,NA,0.997395,0.916368,0.889591,0.341048,0.341048
"KK1","2X","Not Detected As Archaic",0.991285,0.869526,NA,0.99437,0.922104,NA,0.992961,0.897244,0.821746,0.348179,0.348179
"KK1","2X","Archaic Original",1,0.875,NA,1,1,NA,1,0.935484,0.888889,0.391892,0.391892
"KK1","2X","Archaic New",0.995653,0.892243,NA,0.995086,0.92908,NA,0.995429,0.90634,0.86839,0.328219,0.328219
"Kolyma1","0.0625X","Archaic Shared",0.971876,0.917523,NA,0.989123,0.960682,NA,0.980392,0.938392,0.895037,0.458542,0.458542
"Kolyma1","0.0625X","Not Detected As Archaic",0.807499,0.759915,NA,0.891559,0.905283,NA,0.859998,0.840781,0.740352,0.410502,0.410502
"Kolyma1","0.0625X","Archaic Original",0.780649,0.809095,NA,0.866614,0.91601,NA,0.827265,0.860261,0.799528,0.39931,0.39931
"Kolyma1","0.0625X","Archaic New",0.97752,0.855711,NA,0.964087,0.9034,NA,0.973379,0.869248,0.846356,0.366652,0.366652
"Kolyma1","0.5X","Archaic Shared",0.985572,0.914056,NA,0.990107,0.957589,NA,0.987882,0.935607,0.887346,0.473142,0.473142
"Kolyma1","0.5X","Not Detected As Archaic",0.963269,0.865832,NA,0.98037,0.939619,NA,0.973696,0.909056,0.821014,0.475374,0.475374
"Kolyma1","0.5X","Archaic Original",0.674225,0.738129,NA,0.87538,0.936523,NA,0.774536,0.825192,0.793515,0.369887,0.369887
"Kolyma1","0.5X","Archaic New",0.985253,0.884861,NA,0.987777,0.936594,NA,0.986268,0.904846,0.866448,0.423391,0.423391
"Kolyma1","1X","Archaic Shared",0.984149,0.913593,NA,0.990664,0.960241,NA,0.987458,0.936601,0.889409,0.473012,0.473012
"Kolyma1","1X","Not Detected As Archaic",0.978883,0.877963,NA,0.988519,0.942316,NA,0.984753,0.915894,0.830508,0.481352,0.481352
"Kolyma1","1X","Archaic Original",0.772901,0.741348,NA,0.96732,0.930526,NA,0.863683,0.829102,0.788647,0.416077,0.416077
"Kolyma1","1X","Archaic New",0.990358,0.890153,NA,0.993699,0.940415,NA,0.991727,0.910039,0.870973,0.430158,0.430158
"Kolyma1","2X","Archaic Shared",0.987211,0.915945,NA,0.993434,0.959845,NA,0.990354,0.937551,0.891042,0.47388,0.47388
"Kolyma1","2X","Not Detected As Archaic",0.98848,0.887621,NA,0.993294,0.943889,NA,0.991415,0.92098,0.837638,0.485288,0.485288
"Kolyma1","2X","Archaic Original",0.856,0.855072,NA,0.946667,0.980583,NA,0.914286,0.930233,0.857988,0.475385,0.475385
"Kolyma1","2X","Archaic New",0.993571,0.895402,NA,0.994955,0.944958,NA,0.994155,0.915598,0.87558,0.437941,0.437941
"Loschbour","0.0625X","Archaic Shared",0.981965,0.914748,NA,0.994401,0.945708,NA,0.988726,0.931424,0.871858,0.597898,0.597898
"Loschbour","0.0625X","Not Detected As Archaic",0.832879,0.813983,NA,0.925907,0.921645,NA,0.892236,0.879058,0.773279,0.54067,0.54067
"Loschbour","0.0625X","Archaic Original",0.843653,0.877305,NA,0.907047,0.911446,NA,0.874755,0.893534,0.840778,0.517498,0.517498
"Loschbour","0.0625X","Archaic New",0.982126,0.929635,NA,0.990912,0.959304,NA,0.985685,0.941406,0.912349,0.543457,0.543457
"Loschbour","0.5X","Archaic Shared",0.98621,0.923997,NA,0.993698,0.952866,NA,0.989984,0.938341,0.891495,0.593813,0.593813
"Loschbour","0.5X","Not Detected As Archaic",0.971183,0.892146,NA,0.988949,0.949633,NA,0.982349,0.927433,0.843143,0.604556,0.604556
"Loschbour","0.5X","Archaic Original",0.687947,0.769424,NA,0.92902,0.936,NA,0.805386,0.850129,0.812146,0.47,0.47
"Loschbour","0.5X","Archaic New",0.989748,0.914492,NA,0.99279,0.944619,NA,0.991012,0.926739,0.890592,0.545764,0.545764
"Loschbour","1X","Archaic Shared",0.990098,0.92333,NA,0.995236,0.954092,NA,0.99269,0.938597,0.891794,0.595318,0.595318
"Loschbour","1X","Not Detected As Archaic",0.982781,0.899104,NA,0.99355,0.951575,NA,0.989544,0.931353,0.849596,0.609369,0.609369
"Loschbour","1X","Archaic Original",0.643768,0.764897,NA,0.909206,0.949081,NA,0.759934,0.844785,0.827774,0.429283,0.429283
"Loschbour","1X","Archaic New",0.990658,0.917181,NA,0.993119,0.94784,NA,0.99171,0.930002,0.892992,0.54944,0.54944
"Loschbour","2X","Archaic Shared",0.988651,0.923913,NA,0.994441,0.956251,NA,0.991558,0.939853,0.894462,0.593638,0.593638
"Loschbour","2X","Not Detected As Archaic",0.990388,0.904884,NA,0.995789,0.95272,NA,0.993781,0.93433,0.854413,0.612426,0.612426
"Loschbour","2X","Archaic Original",0.64486,0.763158,NA,0.914706,0.969492,NA,0.783661,0.864775,0.827292,0.457116,0.457116
"Loschbour","2X","Archaic New",0.993558,0.918684,NA,0.995257,0.95044,NA,0.994295,0.932154,0.89485,0.552376,0.552376
"Mota","0.0625X","Archaic Shared",0.926471,0.759036,NA,1,0.857143,NA,0.94186,0.778846,0.792793,0.324,0.324
"Mota","0.0625X","Not Detected As Archaic",0.6502,0.622815,NA,0.771145,0.841872,NA,0.71431,0.709293,0.69568,0.244123,0.244123
"Mota","0.0625X","Archaic Original",0.587361,0.635478,NA,0.791667,0.812698,NA,0.665904,0.702899,0.736617,0.260417,0.260417
"Mota","0.0625X","Archaic New",0.882857,0.726293,NA,0.858131,0.827068,NA,0.871674,0.763014,0.728414,0.2837,0.2837
"Mota","0.5X","Archaic Shared",0.938272,0.810811,NA,0.891892,0.977528,NA,0.923729,0.849351,0.837535,0.325077,0.325077
"Mota","0.5X","Not Detected As Archaic",0.881865,0.737238,NA,0.903367,0.911854,NA,0.892604,0.809315,0.758704,0.31352,0.31352
"Mota","0.5X","Archaic Original",0.84573,0.776256,NA,0.782787,0.84492,NA,0.820428,0.7968,0.782906,0.335029,0.335029
"Mota","0.5X","Archaic New",0.958977,0.792987,NA,0.969442,0.913599,NA,0.962752,0.831719,0.804389,0.324554,0.324554
"Mota","1X","Archaic Shared",0.921053,0.788945,NA,0.797619,0.943396,NA,0.877119,0.821429,0.811715,0.32646,0.32646
"Mota","1X","Not Detected As Archaic",0.925731,0.768813,NA,0.934693,0.922382,NA,0.930138,0.833621,0.778332,0.32784,0.32784
"Mota","1X","Archaic Original",0.801762,0.699816,NA,0.900763,0.876494,NA,0.837989,0.755668,0.759006,0.317302,0.317302
"Mota","1X","Archaic New",0.973204,0.808197,NA,0.974127,0.925856,NA,0.973578,0.851018,0.811433,0.333318,0.333318
"Mota","2X","Archaic Shared",0.960422,0.838074,NA,0.905,0.885246,NA,0.941278,0.851562,0.826642,0.35302,0.35302
"Mota","2X","Not Detected As Archaic",0.957956,0.797931,NA,0.956597,0.929581,NA,0.957295,0.854504,0.79696,0.338388,0.338388
"Mota","2X","Archaic Original",0.881057,0.750831,NA,0.779221,0.912621,NA,0.839895,0.792079,0.78125,0.326988,0.326988
"Mota","2X","Archaic New",0.978294,0.814995,NA,0.974146,0.932912,NA,0.976537,0.859935,0.815867,0.340726,0.340726
"NE1","0.0625X","Archaic Shared",0.976138,0.932553,NA,0.990261,0.9556,NA,0.981528,0.941243,0.915133,0.582975,0.582975
"NE1","0.0625X","Not Detected As Archaic",0.828034,0.82373,NA,0.914559,0.906376,NA,0.874126,0.865922,0.797047,0.516434,0.516434
"NE1","0.0625X","Archaic Original",0.836224,0.86134,NA,0.891941,0.904506,NA,0.859688,0.878554,0.843373,0.507534,0.507534
"NE1","0.0625X","Archaic New",0.987659,0.91739,NA,0.997459,0.949727,NA,0.99129,0.92917,0.900681,0.556997,0.556997
"NE1","0.5X","Archaic Shared",0.991224,0.932062,NA,0.993837,0.956108,NA,0.992232,0.941183,0.913807,0.588122,0.588122
"NE1","0.5X","Not Detected As Archaic",0.972409,0.905236,NA,0.988402,0.946973,NA,0.980684,0.926401,0.871676,0.590322,0.590322
"NE1","0.5X","Archaic Original",0.952941,0.908414,NA,0.987952,0.951707,NA,0.969635,0.928852,0.884713,0.601388,0.601388
"NE1","0.5X","Archaic New",0.991656,0.921917,NA,0.994208,0.9532,NA,0.992598,0.933214,0.905755,0.564932,0.564932
"NE1","1X","Archaic Shared",0.994231,0.934762,NA,0.995729,0.95755,NA,0.994815,0.943496,0.916298,0.590946,0.590946
"NE1","1X","Not Detected As Archaic",0.984525,0.91321,NA,0.993693,0.949818,NA,0.989264,0.931789,0.879215,0.596124,0.596124
"NE1","1X","Archaic Original",0.94433,0.948665,NA,0.988981,0.941645,NA,0.963443,0.945602,0.915619,0.623466,0.623466
"NE1","1X","Archaic New",0.994104,0.919708,NA,0.996726,0.954274,NA,0.995102,0.932567,0.903348,0.565878,0.565878
"NE1","2X","Archaic Shared",0.996847,0.935126,NA,0.996944,0.958068,NA,0.996885,0.943913,0.916753,0.591528,0.591528
"NE1","2X","Not Detected As Archaic",0.991567,0.916654,NA,0.996319,0.951407,NA,0.994024,0.934297,0.882694,0.598616,0.598616
"NE1","2X","Archaic Original",0.964072,0.952663,NA,1,0.993007,NA,0.980583,0.971154,0.951087,0.660131,0.660131
"NE1","2X","Archaic New",0.996167,0.919241,NA,0.996577,0.955121,NA,0.996327,0.932906,0.902361,0.567002,0.567002
"PB675","0.0625X","Archaic Shared",0.980309,0.92538,NA,0.990999,0.956418,NA,0.985314,0.939663,0.900468,0.527635,0.527635
"PB675","0.0625X","Not Detected As Archaic",0.831115,0.828124,NA,0.921216,0.906365,NA,0.879364,0.86863,0.798439,0.477698,0.477698
"PB675","0.0625X","Archaic Original",0.853561,0.865338,NA,0.909358,0.897899,NA,0.876352,0.878165,0.843605,0.461215,0.461215
"PB675","0.0625X","Archaic New",0.984591,0.910305,NA,0.985501,0.916975,NA,0.984903,0.912575,0.883721,0.485553,0.485553
"PB675","0.5X","Archaic Shared",0.992764,0.926354,NA,0.995028,0.94994,NA,0.993726,0.936206,0.901557,0.524878,0.524878
"PB675","0.5X","Not Detected As Archaic",0.977054,0.904666,NA,0.990833,0.944944,NA,0.984249,0.925309,0.86852,0.539662,0.539662
"PB675","0.5X","Archaic Original",0.944444,0.939698,NA,0.994836,0.958541,NA,0.965768,0.94782,0.91978,0.561463,0.561463
"PB675","0.5X","Archaic New",0.992096,0.922491,NA,0.995826,0.947361,NA,0.99348,0.931566,0.903172,0.501894,0.501894
"PB675","1X","Archaic Shared",0.994964,0.926234,NA,0.997005,0.95127,NA,0.995831,0.93669,0.902178,0.52692,0.52692
"PB675","1X","Not Detected As Archaic",0.987284,0.909827,NA,0.995141,0.947748,NA,0.991385,0.929256,0.874063,0.54361,0.54361
"PB675","1X","Archaic Original",0.911111,0.903704,NA,1,0.965116,NA,0.9447,0.927602,0.90184,0.538259,0.538259
"PB675","1X","Archaic New",0.994521,0.922249,NA,0.997299,0.94296,NA,0.995573,0.929984,0.8998,0.505672,0.505672
"PB675","2X","Archaic Shared",0.997,0.92772,NA,0.997844,0.95173,NA,0.997358,0.937749,0.903531,0.527367,0.527367
"PB675","2X","Not Detected As Archaic",0.993337,0.913987,NA,0.997123,0.948794,NA,0.995313,0.93183,0.87764,0.545586,0.545586
"PB675","2X","Archaic Original",0.957143,0.930556,NA,1,1,NA,0.969697,0.950495,0.9375,0.596273,0.596273
"PB675","2X","Archaic New",0.996674,0.926236,NA,0.997583,0.951353,NA,0.997029,0.93587,0.905911,0.51239,0.51239
"SRA62","0.0625X","Archaic Shared",0.968297,0.911495,NA,0.975745,0.961218,NA,0.971772,0.933645,0.894112,0.463687,0.463687
"SRA62","0.0625X","Not Detected As Archaic",0.836084,0.77915,NA,0.916447,0.91816,NA,0.890023,0.864505,0.741429,0.454758,0.454758
"SRA62","0.0625X","Archaic Original",0.849439,0.835587,NA,0.901001,0.939264,NA,0.885261,0.899879,0.782248,0.468092,0.468092
"SRA62","0.0625X","Archaic New",0.971125,0.873089,NA,0.981672,0.932323,NA,0.975621,0.897241,0.853813,0.42776,0.42776
"SRA62","0.5X","Archaic Shared",0.990752,0.909371,NA,0.992897,0.961776,NA,0.991991,0.938829,0.877463,0.499146,0.499146
"SRA62","0.5X","Not Detected As Archaic",0.971617,0.870327,NA,0.986791,0.943474,NA,0.981648,0.917146,0.813449,0.509531,0.509531
"SRA62","0.5X","Archaic Original",0.884868,0.802667,NA,0.947368,0.916803,NA,0.92696,0.873482,0.750996,0.495221,0.495221
"SRA62","0.5X","Archaic New",0.98806,0.894598,NA,0.990047,0.939937,NA,0.988947,0.914137,0.869281,0.448462,0.448462
"SRA62","1X","Archaic Shared",0.993988,0.909352,NA,0.994396,0.962316,NA,0.994225,0.939161,0.877726,0.500197,0.500197
"SRA62","1X","Not Detected As Archaic",0.983552,0.878083,NA,0.991873,0.945411,NA,0.989052,0.921318,0.819939,0.513644,0.513644
"SRA62","1X","Archaic Original",0.943182,0.791304,NA,0.953846,0.962162,NA,0.95053,0.896667,0.78169,0.571744,0.571744
